producto,categoria,cantidad,precio,producto_bd,score
Cassio titanio lavabo,Grifería,1,"58,31 €",CASSIO CROMO/BLANCO LAVABO/BIDÉ,66.67
Zio cromo lavabo,Grifería,1,"58,31 €",CASSIO CROMO/BLANCO LAVABO/BIDÉ,62.5
Fossion cromo lavabo,Grifería,1,"58,31 €",CASSIO CROMO/BLANCO LAVABO/BIDÉ,66.67
Sirio ducha cromo,Grifería,2,"30,00 €",Grifo ducha Xela,66.67
Round cocina acero,Grifería,2,,MONOMANDO COCINA ROUND ACERO,69.57
Round cocina cromo,Grifería,1,"90,00 €",Grifo cocina,75
Noah cocina acero,Grifería,3,,MONOMANDO COCINA ROUND ACERO,71.11
Espejo Dupach Ø100 negro con luz,Espejo,1,"277,14 €",Espejo ORGANIC 100x80,53.06
Espejo Organic 90 cm,Espejo,1,"277,14 €",Espejo ORGANIC 100x80,84.21
Espejo Royo conjunto DAI,Espejo,1,"258,96 €",ESPEJO CREPÚSCULO  CON REPISA,55.56
Espejo camerino baño,Espejo,1,"303,30 €",ESPEJO CAMERINO MIBAÑO,90.91
Espejo Euro21 blanco,Espejo,1,"85,80 €",ESPEJO Nº27 EUROMUEBLES 21,65
Espejo Gota con focos redondos,Espejo,1,"146,14 €",ESPEJO OPTIMUS +FOCO LED,62.96
Mueble Ballet Royo encimera sólida 90 cm,Mueble,1,"227,92 €",MUEBLE NOJA 2C BLANCO BRILLO +ENCIMERA CERÁMICA 70CM,62.65
Mueble Markantio Oliva 80 cm,Mueble,1,"880,00 €",MUEBLE MARKATTO 3C+1P+1C,61.22
Mueble Attila Salgar 80 cm,Mueble,1,"224,66 €",MUEBLE ATTILA 100CM BL/BR + ENCIMERA,59.65
Mueble Dos de Tres negro mate 100 cm,Mueble,1,"252,15 €",MUEBLE STREET +ENCIMERA,54.9
Mueble Euro21 modelo Moscu 120 cm,Mueble,1,"232,00 €",MUEBLE OROSÍ/ VESUBIO 3CAJONES,49.18
Mueble Salgar Mod Unik 60 cm,Mueble,1,"103,80 €",MUEBLE AUXILIAR ETERNITY 60 x 24 x 84,54.84
